Soil_pH,Soil_Moisture,Temperature_C,Rainfall_mm,Crop_Yield_ton,Sustainability_Score,Crop_Type_Rice,Crop_Type_Soybean,Crop_Type_Wheat,target_Fertilizer_Usage_kg,target_Pesticide_Usage_kg
7.074642684748379,49.146358763976956,26.669156624974832,227.8919122156477,1.5779199239944837,51.91464942129485,0.001,0.001,1.001,131.6938438033121,2.959214627794372
6.237931178393062,21.49711538528016,29.32634237075326,244.01849330098983,3.8256856574529587,47.16007682234932,0.001,1.001,0.001,136.37149156657472,19.205770288188543
5.923334984917588,19.47004232943808,17.667414270923203,141.11152082022787,1.1341976262416602,50.14941841193642,0.001,0.001,0.001,99.7262102526668,11.042065642810384
6.846119841700978,27.97523365959013,17.189722198804674,156.78666341441286,8.871540370316064,89.76555694923243,0.001,0.001,1.001,194.83339639527492,8.807270972850377
6.935170571746167,33.63867886268485,23.6048989773971,77.86036215956803,8.780317423442908,51.03494070553181,0.001,0.001,0.001,57.27226667121769,3.7485534903293205
6.134678815937644,15.94152981365254,30.45237754539481,296.6224986778074,2.0447081720414624,23.026533664798894,1.001,0.001,0.001,96.48308665284425,3.2691648216219877
7.407252115902883,41.55615223127636,25.770160600947563,54.347639881507185,6.1782110622480575,88.8696978195076,0.001,1.001,0.001,159.20889472237542,13.672459324872124
7.021796376709596,35.17109771823994,22.720703033371624,292.35979123024157,5.2191316370640655,44.01734435130421,0.001,1.001,0.001,180.44436821033568,18.56983965957064
5.534615205155877,12.670235566536421,15.349648374565193,183.93198771019212,7.802282070734074,80.16506770740037,0.001,0.001,1.001,191.52801063844745,3.2376151302764495
6.274581603345997,13.356533914843604,23.03576007829559,199.6524943426401,6.222388077188259,82.93012015630669,0.001,1.001,0.001,58.523860493849575,13.675733109880756
6.327380001412074,38.018975057043875,16.229633190425723,260.03919362018974,2.27126393857822,45.2412235030022,0.001,0.001,0.001,147.57787119471325,4.272011156227427
5.948965077106362,31.58870444642112,26.610197486959922,136.1523352034578,2.848876691130483,92.39588825023205,0.001,0.001,0.001,181.77979581583253,17.491503448556806
5.904197473726216,33.81537633099634,15.215501312316828,141.22010991113595,9.945867740520532,50.697211384931556,1.001,0.001,0.001,185.53628867808544,14.819826282921623
6.6238151403388885,43.58287368979196,25.850535042154224,146.99157008879303,1.9660470520791966,6.43827150619079,0.001,0.001,0.001,66.17922107171381,8.240870534578848
