Temperature_C,Rainfall_mm,Fertilizer_Usage_kg,Crop_Yield_ton,Sustainability_Score,Crop_Type_Rice,Crop_Type_Soybean,Crop_Type_Wheat,target_Soil_pH,target_Soil_Moisture
26.669156624974832,227.8919122156477,131.6938438033121,1.5779199239944837,51.91464942129485,0.001,0.001,1.001,7.074642684748379,49.146358763976956
29.32634237075326,244.01849330098983,136.37149156657472,3.8256856574529587,47.16007682234932,0.001,1.001,0.001,6.237931178393062,21.49711538528016
17.667414270923203,141.11152082022787,99.7262102526668,1.1341976262416602,50.14941841193642,0.001,0.001,0.001,5.923334984917588,19.47004232943808
17.189722198804674,156.78666341441286,194.83339639527492,8.871540370316064,89.76555694923243,0.001,0.001,1.001,6.846119841700978,27.97523365959013
23.6048989773971,77.86036215956803,57.27226667121769,8.780317423442908,51.03494070553181,0.001,0.001,0.001,6.935170571746167,33.63867886268485
30.45237754539481,296.6224986778074,96.48308665284425,2.0447081720414624,23.026533664798894,1.001,0.001,0.001,6.134678815937644,15.94152981365254
25.770160600947563,54.347639881507185,159.20889472237542,6.1782110622480575,88.8696978195076,0.001,1.001,0.001,7.407252115902883,41.55615223127636
22.720703033371624,292.35979123024157,180.44436821033568,5.2191316370640655,44.01734435130421,0.001,1.001,0.001,7.021796376709596,35.17109771823994
15.349648374565193,183.93198771019212,191.52801063844745,7.802282070734074,80.16506770740037,0.001,0.001,1.001,5.534615205155877,12.670235566536421
23.03576007829559,199.6524943426401,58.523860493849575,6.222388077188259,82.93012015630669,0.001,1.001,0.001,6.274581603345997,13.356533914843604
16.229633190425723,260.03919362018974,147.57787119471325,2.27126393857822,45.2412235030022,0.001,0.001,0.001,6.327380001412074,38.018975057043875
26.610197486959922,136.1523352034578,181.77979581583253,2.848876691130483,92.39588825023205,0.001,0.001,0.001,5.948965077106362,31.58870444642112
15.215501312316828,141.22010991113595,185.53628867808544,9.945867740520532,50.697211384931556,1.001,0.001,0.001,5.904197473726216,33.81537633099634
